Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
2018,2021,4,abw,Aruba
2018,2021,4,afg,Afghanistan
2018,2021,4,ago,Angola
2018,2021,4,aia,Anguilla
2018,2021,4,alb,Albania
2018,2021,4,and,Andorra
2018,2021,4,are,United Arab Emirates
2018,2021,4,arg,Argentina
2018,2021,4,arm,Armenia
2018,2021,4,asm,American Samoa
2018,2021,4,atf,French South Antarctic Territory
2018,2021,4,atg,Antigua and Barbuda
2018,2021,4,aus,Australia
2018,2021,4,aut,Austria
2018,2021,4,aze,Azerbaijan
2018,2021,4,bdi,Burundi
2018,2021,4,bel,Belgium
2018,2021,4,ben,Benin
2018,2021,4,bes,"Bonaire, Sint Eustatius and Saba"
2018,2021,4,bfa,Burkina Faso
2018,2021,4,bgd,Bangladesh
2018,2021,4,bgr,Bulgaria
2018,2021,4,bhr,Bahrain
2018,2021,4,bhs,Bahamas
2018,2021,4,bih,Bosnia and Herzegovina
2018,2021,4,blm,Saint Barthélemy
2018,2021,4,blr,Belarus
2018,2021,4,blz,Belize
2018,2021,4,bmu,Bermuda
2018,2021,4,bol,Bolivia
2018,2021,4,bra,Brazil
2018,2021,4,brb,Barbados
2018,2021,4,brn,Brunei
2018,2021,4,btn,Bhutan
2018,2021,4,bwa,Botswana
2018,2021,4,caf,Central African Republic
2018,2021,4,can,Canada
2018,2021,4,cck,Cocos (Keeling) Islands
2018,2021,4,che,Switzerland
2018,2021,4,chl,Chile
2018,2021,4,chn,China
2018,2021,4,civ,Cote d'Ivoire
2018,2021,4,cmr,Cameroon
2018,2021,4,cod,Democratic Republic of the Congo
2018,2021,4,cog,Republic of the Congo
2018,2021,4,cok,Cook Islands
2018,2021,4,col,Colombia
2018,2021,4,com,Comoros
2018,2021,4,cpv,Cape Verde
2018,2021,4,cri,Costa Rica
2018,2021,4,cub,Cuba
2018,2021,4,cuw,Curaçao
2018,2021,4,cxr,Christmas Island
2018,2021,4,cym,Cayman Islands
2018,2021,4,cyp,Cyprus
2018,2021,4,cze,Czech Republic
2018,2021,4,deu,Germany
2018,2021,4,dji,Djibouti
2018,2021,4,dma,Dominica
2018,2021,4,dnk,Denmark
2018,2021,4,dom,Dominican Republic
2018,2021,4,dza,Algeria
2018,2021,4,ecu,Ecuador
2018,2021,4,egy,Egypt
2018,2021,4,eri,Eritrea
2018,2021,4,esp,Spain
2018,2021,4,est,Estonia
2018,2021,4,eth,Ethiopia
2018,2021,4,fin,Finland
2018,2021,4,fji,Fiji
2018,2021,4,flk,Falkland Islands
2018,2021,4,fra,France
2018,2021,4,fsm,Micronesia
2018,2021,4,gab,Gabon
2018,2021,4,gbr,United Kingdom
2018,2021,4,geo,Georgia
2018,2021,4,gha,Ghana
2018,2021,4,gib,Gibraltar
2018,2021,4,gin,Guinea
2018,2021,4,gmb,Gambia
2018,2021,4,gnb,Guinea-Bissau
2018,2021,4,gnq,Equatorial Guinea
2018,2021,4,grc,Greece
2018,2021,4,grd,Grenada
