Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
2003,2021,19,abw,Aruba
2003,2021,19,afg,Afghanistan
2003,2021,19,ago,Angola
2003,2021,19,aia,Anguilla
2003,2021,19,alb,Albania
2003,2021,19,and,Andorra
2003,2010,8,ant,Netherlands Antilles
2003,2021,19,are,United Arab Emirates
2003,2021,19,arg,Argentina
2003,2021,19,arm,Armenia
2003,2021,19,asm,American Samoa
2003,2013,11,ata,Antarctica
2003,2021,19,atf,French South Antarctic Territory
2003,2021,19,atg,Antigua and Barbuda
2003,2021,19,aus,Australia
2003,2021,19,aut,Austria
2003,2021,19,aze,Azerbaijan
2003,2021,19,bdi,Burundi
2003,2021,19,bel,Belgium
2003,2021,19,ben,Benin
2011,2021,11,bes,"Bonaire, Sint Eustatius and Saba"
2003,2021,19,bfa,Burkina Faso
2003,2021,19,bgd,Bangladesh
2003,2021,19,bgr,Bulgaria
2003,2021,19,bhr,Bahrain
2003,2021,19,bhs,Bahamas
2003,2021,19,bih,Bosnia and Herzegovina
2013,2021,9,blm,Saint Barthélemy
2003,2021,19,blr,Belarus
2003,2018,16,blx,Belgium-Luxembourg
2003,2021,19,blz,Belize
2003,2021,19,bmu,Bermuda
2003,2021,19,bol,Bolivia
2003,2021,19,bra,Brazil
2003,2021,19,brb,Barbados
2003,2021,19,brn,Brunei
2003,2021,19,btn,Bhutan
2003,2013,11,bvt,Bouvet Island
2003,2021,19,bwa,Botswana
2003,2021,19,caf,Central African Republic
2003,2021,19,can,Canada
2003,2021,19,cck,Cocos (Keeling) Islands
2003,2021,19,che,Switzerland
2003,2021,19,chl,Chile
2003,2021,19,chn,China
2003,2021,19,civ,Cote d'Ivoire
2003,2021,19,cmr,Cameroon
2003,2021,19,cod,Democratic Republic of the Congo
2003,2021,19,cog,Republic of the Congo
2003,2021,19,cok,Cook Islands
2003,2021,19,col,Colombia
2003,2021,19,com,Comoros
2003,2021,19,cpv,Cape Verde
2003,2021,19,cri,Costa Rica
2003,2021,19,cub,Cuba
2011,2021,11,cuw,Curaçao
2003,2021,19,cxr,Christmas Island
2003,2021,19,cym,Cayman Islands
2003,2021,19,cyp,Cyprus
2003,2021,19,cze,Czech Republic
2003,2021,19,deu,Germany
2003,2021,19,dji,Djibouti
2003,2021,19,dma,Dominica
2003,2021,19,dnk,Denmark
2003,2021,19,dom,Dominican Republic
2003,2021,19,dza,Algeria
2003,2021,19,ecu,Ecuador
2003,2021,19,egy,Egypt
2003,2021,18,eri,Eritrea
2003,2013,11,esh,Western Sahara
2003,2021,19,esp,Spain
2003,2021,19,est,Estonia
2003,2021,19,eth,Ethiopia
2003,2021,19,fin,Finland
2003,2021,19,fji,Fiji
2003,2021,19,flk,Falkland Islands
2003,2021,19,fra,France
2003,2021,19,fsm,Micronesia
2003,2021,19,gab,Gabon
2003,2021,19,gbr,United Kingdom
2003,2021,19,geo,Georgia
2003,2021,19,gha,Ghana
2003,2021,19,gib,Gibraltar
2003,2021,19,gin,Guinea
2003,2021,19,gmb,Gambia
2003,2021,19,gnb,Guinea-Bissau
2003,2021,19,gnq,Equatorial Guinea
2003,2021,19,grc,Greece
2003,2021,19,grd,Grenada
2003,2021,19,grl,Greenland
2003,2021,19,gtm,Guatemala
2003,2021,19,gum,Guam
2003,2021,19,guy,Guyana
2003,2021,19,hkg,Hong Kong
2003,2013,11,hmd,Heard Island and McDonald Islands
2003,2021,19,hnd,Honduras
2003,2021,19,hrv,Croatia
2003,2021,19,hti,Haiti
2003,2021,19,hun,Hungary
2003,2021,19,idn,Indonesia
2003,2021,19,ind,India
2003,2021,19,iot,British Indian Ocean Territory
2003,2021,19,irl,Ireland
2003,2021,19,irn,Iran
2003,2021,19,irq,Iraq
2003,2021,19,isl,Iceland
2003,2021,19,isr,Israel
2003,2021,19,ita,Italy
2003,2021,19,jam,Jamaica
2003,2021,19,jor,Jordan
2003,2021,19,jpn,Japan
2003,2021,19,kaz,Kazakhstan
2003,2021,19,ken,Kenya
2003,2021,19,kgz,Kyrgyzstan
2003,2021,19,khm,Cambodia
2003,2021,19,kir,Kiribati
2003,2021,19,kna,Saint Kitts and Nevis
2003,2021,19,kor,South Korea
2003,2021,19,kwt,Kuwait
2003,2021,19,lao,Laos
2003,2021,19,lbn,Lebanon
2003,2021,19,lbr,Liberia
2003,2021,19,lby,Libya
2003,2021,19,lca,Saint Lucia
2003,2021,19,lka,Sri Lanka
2003,2021,19,lso,Lesotho
2003,2021,19,ltu,Lithuania
2003,2021,19,lux,Luxembourg
2003,2021,19,lva,Latvia
2003,2021,19,mac,Macau
2011,2021,11,maf,Saint Martin
2003,2021,19,mar,Morocco
2003,2021,19,mda,Moldova
2003,2021,19,mdg,Madagascar
2003,2021,19,mdv,Maldives
2003,2021,19,mex,Mexico
2003,2021,19,mhl,Marshall Islands
2003,2021,19,mkd,Macedonia
2003,2021,19,mli,Mali
2003,2021,19,mlt,Malta
2003,2021,19,mmr,Myanmar
2006,2021,16,mne,Montenegro
2003,2021,19,mng,Mongolia
2003,2021,19,mnp,Northern Mariana Islands
2003,2021,19,moz,Mozambique
2003,2021,19,mrt,Mauritania
2003,2021,19,msr,Montserrat
2003,2021,19,mus,Mauritius
2003,2021,19,mwi,Malawi
2003,2021,19,mys,Malaysia
2003,2021,19,nam,Namibia
2003,2021,19,ncl,New Caledonia
2003,2021,19,ner,Niger
2003,2021,19,nfk,Norfolk Island
2003,2021,19,nga,Nigeria
2003,2021,19,nic,Nicaragua
2003,2021,19,niu,Niue
2003,2021,19,nld,Netherlands
2003,2021,19,nor,Norway
2003,2021,19,npl,Nepal
2003,2021,19,nru,Nauru
2003,2021,19,nzl,New Zealand
2003,2021,19,omn,Oman
2003,2021,19,pak,Pakistan
2003,2021,19,pan,Panama
2003,2021,19,pcn,Pitcairn Islands
2003,2021,19,per,Peru
2003,2021,19,phl,Philippines
2003,2021,19,plw,Palau
