Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
2013,2021,9,abw,Aruba
2013,2021,9,afg,Afghanistan
2013,2021,9,ago,Angola
2013,2021,9,aia,Anguilla
2013,2021,9,alb,Albania
2013,2021,9,and,Andorra
2013,2021,9,are,United Arab Emirates
2013,2021,9,arg,Argentina
2013,2021,9,arm,Armenia
2013,2021,9,asm,American Samoa
2013,2021,9,atf,French South Antarctic Territory
2013,2021,9,atg,Antigua and Barbuda
2013,2021,9,aus,Australia
2013,2021,9,aut,Austria
2013,2021,9,aze,Azerbaijan
2013,2021,9,bdi,Burundi
2013,2021,9,bel,Belgium
2013,2021,9,ben,Benin
2013,2021,9,bes,"Bonaire, Sint Eustatius and Saba"
2013,2021,9,bfa,Burkina Faso
2013,2021,9,bgd,Bangladesh
2013,2021,9,bgr,Bulgaria
2013,2021,9,bhr,Bahrain
2013,2021,9,bhs,Bahamas
2013,2021,9,bih,Bosnia and Herzegovina
2013,2021,9,blm,Saint Barthélemy
2013,2021,9,blr,Belarus
2013,2018,6,blx,Belgium-Luxembourg
2013,2021,9,blz,Belize
2013,2021,9,bmu,Bermuda
2013,2021,9,bol,Bolivia
2013,2021,9,bra,Brazil
2013,2021,9,brb,Barbados
2013,2021,9,brn,Brunei
2013,2021,9,btn,Bhutan
2013,2021,9,bwa,Botswana
2013,2021,9,caf,Central African Republic
2013,2021,9,can,Canada
2013,2021,9,cck,Cocos (Keeling) Islands
2013,2021,9,che,Switzerland
2013,2021,9,chl,Chile
2013,2021,9,chn,China
2013,2021,9,civ,Cote d'Ivoire
2013,2021,9,cmr,Cameroon
2013,2021,9,cod,Democratic Republic of the Congo
2013,2021,9,cog,Republic of the Congo
2013,2021,9,cok,Cook Islands
2013,2021,9,col,Colombia
2013,2021,9,com,Comoros
2013,2021,9,cpv,Cape Verde
2013,2021,9,cri,Costa Rica
2013,2021,9,cub,Cuba
2013,2021,9,cuw,Curaçao
2013,2021,9,cxr,Christmas Island
2013,2021,9,cym,Cayman Islands
2013,2021,9,cyp,Cyprus
2013,2021,9,cze,Czech Republic
2013,2021,9,deu,Germany
2013,2021,9,dji,Djibouti
2013,2021,9,dma,Dominica
2013,2021,9,dnk,Denmark
2013,2021,9,dom,Dominican Republic
2013,2021,9,dza,Algeria
2013,2021,9,ecu,Ecuador
2013,2021,9,egy,Egypt
2013,2021,8,eri,Eritrea
2013,2021,9,esp,Spain
2013,2021,9,est,Estonia
2013,2021,9,eth,Ethiopia
2013,2021,9,fin,Finland
2013,2021,9,fji,Fiji
2013,2021,9,flk,Falkland Islands
2013,2021,9,fra,France
2013,2021,9,fsm,Micronesia
2013,2021,9,gab,Gabon
2013,2021,9,gbr,United Kingdom
2013,2021,9,geo,Georgia
2013,2021,9,gha,Ghana
2013,2021,9,gib,Gibraltar
2013,2021,9,gin,Guinea
2013,2021,9,gmb,Gambia
2013,2021,9,gnb,Guinea-Bissau
2013,2021,9,gnq,Equatorial Guinea
2013,2021,9,grc,Greece
2013,2021,9,grd,Grenada
2013,2021,9,grl,Greenland
2013,2021,9,gtm,Guatemala
2013,2021,9,gum,Guam
2013,2021,9,guy,Guyana
2013,2021,9,hkg,Hong Kong
2013,2021,9,hnd,Honduras
2013,2021,9,hrv,Croatia
2013,2021,9,hti,Haiti
2013,2021,9,hun,Hungary
2013,2021,9,idn,Indonesia
2013,2021,9,ind,India
2013,2021,9,iot,British Indian Ocean Territory
2013,2021,9,irl,Ireland
2013,2021,9,irn,Iran
2013,2021,9,irq,Iraq
2013,2021,9,isl,Iceland
2013,2021,9,isr,Israel
2013,2021,9,ita,Italy
2013,2021,9,jam,Jamaica
2013,2021,9,jor,Jordan
2013,2021,9,jpn,Japan
2013,2021,9,kaz,Kazakhstan
2013,2021,9,ken,Kenya
2013,2021,9,kgz,Kyrgyzstan
2013,2021,9,khm,Cambodia
2013,2021,9,kir,Kiribati
2013,2021,9,kna,Saint Kitts and Nevis
2013,2021,9,kor,South Korea
2013,2021,9,kwt,Kuwait
2013,2021,9,lao,Laos
2013,2021,9,lbn,Lebanon
2013,2021,9,lbr,Liberia
2013,2021,9,lby,Libya
2013,2021,9,lca,Saint Lucia
2013,2021,9,lka,Sri Lanka
2013,2021,9,lso,Lesotho
2013,2021,9,ltu,Lithuania
2013,2021,9,lux,Luxembourg
2013,2021,9,lva,Latvia
2013,2021,9,mac,Macau
2013,2021,9,maf,Saint Martin
2013,2021,9,mar,Morocco
2013,2021,9,mda,Moldova
2013,2021,9,mdg,Madagascar
2013,2021,9,mdv,Maldives
2013,2021,9,mex,Mexico
2013,2021,9,mhl,Marshall Islands
2013,2021,9,mkd,Macedonia
2013,2021,9,mli,Mali
2013,2021,9,mlt,Malta
2013,2021,9,mmr,Myanmar
2013,2021,9,mne,Montenegro
2013,2021,9,mng,Mongolia
2013,2021,9,mnp,Northern Mariana Islands
2013,2021,9,moz,Mozambique
2013,2021,9,mrt,Mauritania
2013,2021,9,msr,Montserrat
2013,2021,9,mus,Mauritius
2013,2021,9,mwi,Malawi
2013,2021,9,mys,Malaysia
