Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
2008,2021,14,abw,Aruba
2008,2021,14,afg,Afghanistan
2008,2021,14,ago,Angola
2008,2021,14,aia,Anguilla
2008,2021,14,alb,Albania
2008,2021,14,and,Andorra
2008,2010,3,ant,Netherlands Antilles
2008,2021,14,are,United Arab Emirates
2008,2021,14,arg,Argentina
2008,2021,14,arm,Armenia
2008,2021,14,asm,American Samoa
2008,2012,5,ata,Antarctica
2008,2021,14,atf,French South Antarctic Territory
2008,2021,14,atg,Antigua and Barbuda
2008,2021,14,aus,Australia
2008,2021,14,aut,Austria
2008,2021,14,aze,Azerbaijan
2008,2021,14,bdi,Burundi
2008,2021,14,bel,Belgium
2008,2021,14,ben,Benin
2011,2021,11,bes,"Bonaire, Sint Eustatius and Saba"
2008,2021,14,bfa,Burkina Faso
2008,2021,14,bgd,Bangladesh
2008,2021,14,bgr,Bulgaria
2008,2021,14,bhr,Bahrain
2008,2021,14,bhs,Bahamas
2008,2021,14,bih,Bosnia and Herzegovina
2013,2021,9,blm,Saint Barthélemy
2008,2021,14,blr,Belarus
2008,2018,11,blx,Belgium-Luxembourg
2008,2021,14,blz,Belize
2008,2021,14,bmu,Bermuda
2008,2021,14,bol,Bolivia
2008,2021,14,bra,Brazil
2008,2021,14,brb,Barbados
2008,2021,14,brn,Brunei
2008,2021,14,btn,Bhutan
2008,2012,5,bvt,Bouvet Island
2008,2021,14,bwa,Botswana
2008,2021,14,caf,Central African Republic
2008,2021,14,can,Canada
2008,2021,14,cck,Cocos (Keeling) Islands
2008,2021,14,che,Switzerland
2008,2021,14,chl,Chile
2008,2021,14,chn,China
2008,2021,14,civ,Cote d'Ivoire
2008,2021,14,cmr,Cameroon
2008,2021,14,cod,Democratic Republic of the Congo
2008,2021,14,cog,Republic of the Congo
2008,2021,14,cok,Cook Islands
2008,2021,14,col,Colombia
2008,2021,14,com,Comoros
2008,2021,14,cpv,Cape Verde
2008,2021,14,cri,Costa Rica
2008,2021,14,cub,Cuba
2011,2021,11,cuw,Curaçao
2008,2021,14,cxr,Christmas Island
2008,2021,14,cym,Cayman Islands
2008,2021,14,cyp,Cyprus
2008,2021,14,cze,Czech Republic
2008,2021,14,deu,Germany
2008,2021,14,dji,Djibouti
2008,2021,14,dma,Dominica
2008,2021,14,dnk,Denmark
2008,2021,14,dom,Dominican Republic
2008,2021,14,dza,Algeria
2008,2021,14,ecu,Ecuador
2008,2021,14,egy,Egypt
2008,2021,13,eri,Eritrea
2008,2012,5,esh,Western Sahara
2008,2021,14,esp,Spain
2008,2021,14,est,Estonia
2008,2021,14,eth,Ethiopia
2008,2021,14,fin,Finland
2008,2021,14,fji,Fiji
2008,2021,14,flk,Falkland Islands
2008,2021,14,fra,France
2008,2021,14,fsm,Micronesia
2008,2021,14,gab,Gabon
2008,2021,14,gbr,United Kingdom
2008,2021,14,geo,Georgia
2008,2021,14,gha,Ghana
2008,2021,14,gib,Gibraltar
2008,2021,14,gin,Guinea
2008,2021,14,gmb,Gambia
2008,2021,14,gnb,Guinea-Bissau
2008,2021,14,gnq,Equatorial Guinea
2008,2021,14,grc,Greece
2008,2021,14,grd,Grenada
2008,2021,14,grl,Greenland
2008,2021,14,gtm,Guatemala
2008,2021,14,gum,Guam
2008,2021,14,guy,Guyana
2008,2021,14,hkg,Hong Kong
2008,2012,5,hmd,Heard Island and McDonald Islands
2008,2021,14,hnd,Honduras
2008,2021,14,hrv,Croatia
2008,2021,14,hti,Haiti
2008,2021,14,hun,Hungary
2008,2021,14,idn,Indonesia
2008,2021,14,ind,India
2008,2021,14,iot,British Indian Ocean Territory
2008,2021,14,irl,Ireland
2008,2021,14,irn,Iran
2008,2021,14,irq,Iraq
2008,2021,14,isl,Iceland
2008,2021,14,isr,Israel
2008,2021,14,ita,Italy
2008,2021,14,jam,Jamaica
2008,2021,14,jor,Jordan
2008,2021,14,jpn,Japan
2008,2021,14,kaz,Kazakhstan
2008,2021,14,ken,Kenya
2008,2021,14,kgz,Kyrgyzstan
2008,2021,14,khm,Cambodia
2008,2021,14,kir,Kiribati
2008,2021,14,kna,Saint Kitts and Nevis
2008,2021,14,kor,South Korea
2008,2021,14,kwt,Kuwait
2008,2021,14,lao,Laos
2008,2021,14,lbn,Lebanon
2008,2021,14,lbr,Liberia
2008,2021,14,lby,Libya
2008,2021,14,lca,Saint Lucia
2008,2021,14,lka,Sri Lanka
2008,2021,14,lso,Lesotho
2008,2021,14,ltu,Lithuania
2008,2021,14,lux,Luxembourg
2008,2021,14,lva,Latvia
2008,2021,14,mac,Macau
2011,2021,11,maf,Saint Martin
2008,2021,14,mar,Morocco
2008,2021,14,mda,Moldova
2008,2021,14,mdg,Madagascar
2008,2021,14,mdv,Maldives
2008,2021,14,mex,Mexico
2008,2021,14,mhl,Marshall Islands
2008,2021,14,mkd,Macedonia
2008,2021,14,mli,Mali
2008,2021,14,mlt,Malta
2008,2021,14,mmr,Myanmar
2008,2021,14,mne,Montenegro
2008,2021,14,mng,Mongolia
2008,2021,14,mnp,Northern Mariana Islands
2008,2021,14,moz,Mozambique
2008,2021,14,mrt,Mauritania
2008,2021,14,msr,Montserrat
2008,2021,14,mus,Mauritius
2008,2021,14,mwi,Malawi
2008,2021,14,mys,Malaysia
2008,2021,14,nam,Namibia
2008,2021,14,ncl,New Caledonia
2008,2021,14,ner,Niger
2008,2021,14,nfk,Norfolk Island
2008,2021,14,nga,Nigeria
2008,2021,14,nic,Nicaragua
2008,2021,14,niu,Niue
2008,2021,14,nld,Netherlands
2008,2021,14,nor,Norway
2008,2021,14,npl,Nepal
2008,2021,14,nru,Nauru
2008,2021,14,nzl,New Zealand
2008,2021,14,omn,Oman
2008,2021,14,pak,Pakistan
2008,2021,14,pan,Panama
2008,2021,14,pcn,Pitcairn Islands
2008,2021,14,per,Peru
2008,2021,14,phl,Philippines
2008,2021,14,plw,Palau
2008,2021,14,png,Papua New Guinea
2008,2021,14,pol,Poland
2008,2021,14,prk,North Korea
2008,2021,14,prt,Portugal
2008,2021,14,pry,Paraguay
2008,2021,14,pse,Palestian territory
2008,2021,14,pyf,French Polynesia
2008,2021,14,qat,Qatar
2008,2021,14,rou,Romania
2008,2021,14,rus,Russia
2008,2021,14,rwa,Rwanda
2008,2021,14,sau,Saudi Arabia
2008,2021,14,sdn,Sudan
2008,2021,14,sen,Senegal
2008,2021,14,sgp,Singapore
2008,2012,5,sgs,South Georgia South Sandwich Islands
2008,2021,14,shn,Saint Helena
2008,2021,14,slb,Solomon Islands
2008,2021,14,sle,Sierra Leone
2008,2021,14,slv,El Salvador
2008,2021,14,smr,San Marino
2008,2021,14,som,Somalia
2008,2021,14,spm,Saint Pierre and Miquelon
2008,2021,14,srb,Serbia
2012,2021,10,ssd,South Sudan
2008,2021,14,stp,Sao Tome and Principe
2008,2021,14,sur,Suriname
2008,2021,14,svk,Slovakia
2008,2021,14,svn,Slovenia
2008,2021,14,swe,Sweden
2008,2021,14,swz,Swaziland
2008,2021,14,syc,Seychelles
2008,2021,14,syr,Syria
2008,2021,14,tca,Turks and Caicos Islands
2008,2021,14,tcd,Chad
2008,2021,14,tgo,Togo
2008,2021,14,tha,Thailand
2008,2021,14,tjk,Tajikistan
2008,2021,14,tkl,Tokelau
2008,2021,14,tkm,Turkmenistan
