Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
1998,2021,24,sdn,Sudan
1998,2021,24,sen,Senegal
1998,2021,24,sgp,Singapore
2000,2013,14,sgs,South Georgia South Sandwich Islands
1998,2021,24,shn,Saint Helena
1998,2021,24,slb,Solomon Islands
1998,2021,24,sle,Sierra Leone
1998,2021,24,slv,El Salvador
2000,2021,22,smr,San Marino
1998,2021,24,som,Somalia
1998,2021,24,spm,Saint Pierre and Miquelon
2005,2021,17,srb,Serbia
2012,2021,10,ssd,South Sudan
1998,2021,24,stp,Sao Tome and Principe
1998,2021,24,sur,Suriname
1998,2021,24,svk,Slovakia
1998,2021,24,svn,Slovenia
1998,2021,24,swe,Sweden
2000,2021,22,swz,Swaziland
1998,2021,24,syc,Seychelles
1998,2021,24,syr,Syria
1998,2021,24,tca,Turks and Caicos Islands
1998,2021,24,tcd,Chad
1998,2021,24,tgo,Togo
1998,2021,24,tha,Thailand
1998,2021,24,tjk,Tajikistan
1998,2021,24,tkl,Tokelau
1998,2021,24,tkm,Turkmenistan
1998,2021,24,tls,Timor-Leste
1998,2021,24,ton,Tonga
1998,2021,24,tto,Trinidad and Tobago
1998,2021,24,tun,Tunisia
1998,2021,24,tur,Turkey
1998,2021,24,tuv,Tuvalu
1998,2021,24,tza,Tanzania
1998,2021,24,uga,Uganda
1998,2021,24,ukr,Ukraine
1998,2004,7,umi,United States Minor Outlying Islands
1998,2021,24,ury,Uruguay
1998,2021,24,usa,United States of America
1998,2021,24,uzb,Uzbekistan
2000,2013,14,vat,Holy See (Vatican City)
1998,2021,24,vct,Saint Vincent and the Grenadines
1998,2021,24,ven,Venezuela
1998,2021,24,vgb,British Virgin Islands
1998,2021,24,vnm,Vietnam
1998,2021,24,vut,Vanuatu
1998,2021,24,wlf,Wallis and Futuna
1998,2021,24,wsm,Samoa
1998,2013,16,xxa,Provision of Ships and Aircraft
1998,2014,17,xxb,Central Banks
1998,2013,16,xxc,Unclassified
1998,2013,15,xxd,Unknown
1998,2012,15,xxe,Neutral Zone
1998,2013,16,xxf,Free Zones
1998,2013,16,xxg,Bunkers
1998,2013,16,xxh,Areas
1998,2013,16,xxi,Special Categories
1998,2021,24,yem,Yemen
1998,2005,8,yug,Yugoslavia
1998,2021,24,zaf,South Africa
1998,2021,24,zmb,Zambia
1998,2021,24,zwe,Zimbabwe
